"date","AAPL.Open","AAPL.High","AAPL.Low","AAPL.Close","AAPL.Volume","AAPL.Adjusted"
2022-01-03,177.830001831055,182.880004882812,177.710006713867,182.009994506836,104487900,178.443099975586
2022-01-04,182.630004882812,182.940002441406,179.119995117188,179.699996948242,99310400,176.178421020508
2022-01-05,179.610000610352,180.169998168945,174.639999389648,174.919998168945,94537600,171.492050170898
2022-01-06,172.699996948242,175.300003051758,171.639999389648,172,96904000,168.629302978516
2022-01-07,172.889999389648,174.139999389648,171.029998779297,172.169998168945,86709100,168.795989990234
2022-01-10,169.080001831055,172.5,168.169998168945,172.190002441406,106765600,168.815628051758
2022-01-11,172.320007324219,175.179992675781,170.820007324219,175.080001831055,76138300,171.64892578125
2022-01-12,176.119995117188,177.179992675781,174.820007324219,175.529998779297,74805200,172.090133666992
2022-01-13,175.779998779297,176.619995117188,171.789993286133,172.190002441406,84505800,168.815628051758
2022-01-14,171.339996337891,173.779998779297,171.089996337891,173.070007324219,80440800,169.678329467773
2022-01-18,171.509994506836,172.539993286133,169.410003662109,169.800003051758,90956700,166.472427368164
2022-01-19,170,171.080001831055,165.940002441406,166.229995727539,94815000,162.972396850586
2022-01-20,166.979995727539,169.679992675781,164.179992675781,164.509994506836,91420500,161.286071777344
2022-01-21,164.419998168945,166.330001831055,162.300003051758,162.410003662109,122848900,159.227233886719
2022-01-24,160.020004272461,162.300003051758,154.699996948242,161.619995117188,162294600,158.452682495117
2022-01-25,158.979995727539,162.759994506836,157.020004272461,159.779998779297,115798400,156.648773193359
2022-01-26,163.5,164.389999389648,157.820007324219,159.690002441406,108275300,156.560516357422
2022-01-27,162.449996948242,163.839996337891,158.279998779297,159.220001220703,121954600,156.099761962891
2022-01-28,165.710006713867,170.350006103516,162.800003051758,170.330001831055,179935700,166.99201965332
2022-01-31,170.160003662109,175,169.509994506836,174.779998779297,115541600,171.35481262207
2022-02-01,174.009994506836,174.839996337891,172.309997558594,174.610000610352,86213900,171.18815612793
2022-02-02,174.75,175.880004882812,173.330001831055,175.839996337891,84914300,172.39404296875
2022-02-03,174.479995727539,176.240005493164,172.119995117188,172.899993896484,89418100,169.511672973633
2022-02-04,171.679992675781,174.100006103516,170.679992675781,172.389999389648,82465400,169.226974487305
2022-02-07,172.860000610352,173.949996948242,170.949996948242,171.660003662109,77251200,168.510406494141
2022-02-08,171.729995727539,175.350006103516,171.429992675781,174.830001831055,74829200,171.62223815918
2022-02-09,176.050003051758,176.649993896484,174.899993896484,176.279998779297,71285000,173.045623779297
2022-02-10,174.139999389648,175.479995727539,171.550003051758,172.119995117188,90865900,168.961944580078
2022-02-11,172.330001831055,173.080001831055,168.039993286133,168.639999389648,98670700,165.545776367188
2022-02-14,167.369995117188,169.580001831055,166.559997558594,168.880004882812,86185500,165.781387329102
2022-02-15,170.970001220703,172.949996948242,170.25,172.789993286133,62527400,169.619644165039
2022-02-16,171.850006103516,173.339996337891,170.050003051758,172.550003051758,61177400,169.384048461914
2022-02-17,171.029998779297,171.910003662109,168.470001220703,168.880004882812,69589300,165.781387329102
2022-02-18,169.820007324219,170.539993286133,166.190002441406,167.300003051758,82772700,164.230392456055
2022-02-22,164.979995727539,166.690002441406,162.149993896484,164.320007324219,91162800,161.305068969727
