"date","MSFT.Open","MSFT.High","MSFT.Low","MSFT.Close","MSFT.Volume","MSFT.Adjusted"
2022-01-03,335.350006103516,338,329.779998779297,334.75,28865100,324.504577636719
2022-01-04,334.829986572266,335.200012207031,326.119995117188,329.010009765625,32674300,318.940246582031
2022-01-05,325.859985351562,326.070007324219,315.980010986328,316.380004882812,40054300,306.69677734375
2022-01-06,313.149993896484,318.700012207031,311.489990234375,313.880004882812,39646100,304.273345947266
2022-01-07,314.149993896484,316.5,310.089996337891,314.040008544922,32720000,304.428527832031
2022-01-10,309.489990234375,314.720001220703,304.690002441406,314.269989013672,44289500,304.651428222656
2022-01-11,313.380004882812,316.609985351562,309.890014648438,314.980010986328,29386800,305.339660644531
2022-01-12,319.670013427734,323.410003662109,317.079986572266,318.269989013672,34372200,308.528991699219
2022-01-13,320.470001220703,320.880004882812,304,304.799987792969,45366000,295.471221923828
2022-01-14,304.25,310.820007324219,303.75,310.200012207031,39846400,300.7060546875
2022-01-18,304.070007324219,309.799987792969,301.739990234375,302.649993896484,42333200,293.387054443359
2022-01-19,306.290008544922,313.910003662109,302.700012207031,303.329986572266,45933900,294.046264648438
2022-01-20,309.070007324219,311.649993896484,301.140014648438,301.600006103516,35380700,292.369201660156
2022-01-21,302.690002441406,304.109985351562,295.609985351562,296.029998779297,57984400,286.969696044922
2022-01-24,292.200012207031,297.109985351562,276.049987792969,296.369995117188,85731500,287.299255371094
2022-01-25,291.519989013672,294.989990234375,285.170013427734,288.489990234375,72848600,279.660461425781
2022-01-26,307.989990234375,308.5,293.029998779297,296.709991455078,90428900,287.628845214844
2022-01-27,302.660003662109,307.299987792969,297.929992675781,299.839996337891,53481300,290.663024902344
2022-01-28,300.230010986328,308.480010986328,294.450012207031,308.260009765625,49743700,298.825347900391
2022-01-31,308.950012207031,312.380004882812,306.369995117188,310.980010986328,46444500,301.462066650391
2022-02-01,310.410003662109,310.630004882812,305.130004882812,308.760009765625,40950400,299.31005859375
2022-02-02,309.630004882812,315.119995117188,308.880004882812,313.459991455078,36636000,303.866119384766
2022-02-03,309.489990234375,311.230010986328,299.959991455078,301.25,43730000,292.029876708984
2022-02-04,300.209991455078,308.799987792969,299.970001220703,305.940002441406,35096500,296.576324462891
2022-02-07,306.170013427734,307.839996337891,299.899993896484,300.950012207031,28533300,291.739135742188
2022-02-08,301.25,305.559997558594,299.950012207031,304.559997558594,32421200,295.238616943359
2022-02-09,309.869995117188,311.929992675781,307.390014648438,311.209991455078,31284700,301.68505859375
