date,adjusted_close
2022-01-03,178.443099975586
2022-01-04,176.178421020508
2022-01-05,171.492050170898
2022-01-06,168.629302978516
2022-01-07,168.795989990234
2022-01-10,168.815628051758
2022-01-11,171.64892578125
2022-01-12,172.090133666992
2022-01-13,168.815628051758
2022-01-14,169.678329467773
2022-01-18,166.472427368164
2022-01-19,162.972396850586
2022-01-20,161.286071777344
2022-01-21,159.227233886719
2022-01-24,158.452682495117
2022-01-25,156.648773193359
2022-01-26,156.560516357422
2022-01-27,156.099761962891
2022-01-28,166.99201965332
2022-01-31,171.35481262207
2022-02-01,171.18815612793
2022-02-02,172.39404296875
2022-02-03,169.511672973633
2022-02-04,169.226974487305
2022-02-07,168.510406494141
2022-02-08,171.62223815918
2022-02-09,173.045623779297
2022-02-10,168.961944580078
2022-02-11,165.545776367188
2022-02-14,165.781387329102
2022-02-15,169.619644165039
2022-02-16,169.384048461914
2022-02-17,165.781387329102
2022-02-18,164.230392456055
2022-02-22,161.305068969727
2022-02-23,157.133071899414
2022-02-24,159.754089355469
2022-02-25,161.825332641602
2022-02-28,162.090347290039
2022-03-01,160.205612182617
2022-03-02,163.503952026367
2022-03-03,163.180023193359
2022-03-04,160.176132202148
2022-03-07,156.377182006836
2022-03-08,154.551315307617
2022-03-09,159.960189819336
2022-03-10,155.611450195312
2022-03-11,151.890991210938
2022-03-14,147.8564453125
2022-03-15,152.244415283203
2022-03-16,156.661849975586
2022-03-17,157.672912597656
2022-03-18,160.971313476562
2022-03-21,162.345626831055
2022-03-22,165.72248840332
2022-03-23,167.087020874023
2022-03-24,170.876174926758
2022-03-25,171.514221191406
2022-03-28,172.37809753418
2022-03-29,175.676452636719
2022-03-30,174.508285522461
2022-03-31,171.406265258789
2022-04-01,171.111770629883
2022-04-04,175.165985107422
2022-04-05,171.848007202148
2022-04-06,168.677276611328
2022-04-07,168.981552124023
2022-04-08,166.969146728516
2022-04-11,162.708831787109
2022-04-12,164.583786010742
2022-04-13,167.273483276367
2022-04-14,162.257263183594
2022-04-18,162.041305541992
2022-04-19,164.328567504883
2022-04-20,164.161651611328
2022-04-21,163.366516113281
2022-04-22,158.821472167969
